#简词
喜欢	b
𭷯	jqlj
𭷰	jqbh
𭷱	jqpw
𭷲	qjks
𭷳	jhlj
𭷴	jqmc
𭷵	dlnj
𭷶	vmvj
𭷷	jqqc
𭷸	wjhk
𭷹	wjvd
𭷺	wjlh
𭷻	wjhw
𭷼	wjmb
𭷽	wjjq
𭷾	wjkx
𭷿	whfs
𭸀	wjkj
𭸁	pdwa
𭸂	wjdy
𭸃	wjkw
𭸄	wjrn
𭸅	wjss
𭸆	wjxm
𭸇	wjxj
𭸈	wjyt
𭸉	wjqk
𭸊	wjxm
𭸋	vswa
𭸌	wjkl
𭸍	wjrj
𭸎	wjlb
𭸏	wjhl
𭸐	wjht
𭸑	wjgc
𭸒	wjjq
𭸓	wjvv
𭸔	wjch
𭸕	wjyd
𭸖	wjyv
𭸗	wjcv
𭸘	wjpv
𭸙	wjpk
𭸚	wjjw
𭸛	wjxk
𭸜	wjbk
𭸝	wjwd
𭸞	wjww
𭸟	wjkh
𭸠	wjty
𭸡	wjwf
𭸢	wjts
𭸣	hktw
𭸤	wjbg
𭸥	wjff
𭸦	wjbq
𭸧	wjbv
𭸨	wjrv
𭸩	wjvh
𭸪	wgbw
𭸫	lkws
𭸬	wjxl
𭸭	wjqj
𭸮	hktw
𭸯	wjyx
𭸰	wjqb
𭸱	wjqc
𭸲	wjyv
𭸳	wjpq
𭸴	wjyp
𭸵	jga
𭸶	jwro
𭸷	jxpe
𭸸	jype
𭸹	jwkn
𭸺	jvgu
𭸻	jsli
𭸼	fhjd
𭸽	fkja
𭸾	jtko
𭸿	jkjo
𭹀	jmfk
𭹁	jsld
𭹂	jxbi
𭹃	jfro
𭹄	jrne
𭹅	jxfi
𭹆	jwgd
𭹇	jlqj
𭹈	jfwk
𭹉	jnu
𭹊	xjdx
𭹋	jxhl
𭹌	jrqb
𭹍	jrbm
𭹎	wkmd
𭹏	jhnr
𭹐	jwvs
𭹑	jfhc
𭹒	jtso
𭹓	jgcj
𭹔	jthp
𭹕	jjjd
𭹖	xdsj
𭹗	jfvm
𭹘	jhnr
𭹙	jkto
𭹚	jfdj
𭹛	jpmw
𭹜	jqdk
𭹝	jnhc
𭹞	jlja
𭹟	jnrw
𭹠	jfgd
𭹡	jcno
𭹢	jgsn
𭹣	jhkd
𭹤	jdwi
𭹥	jjxw
𭹦	jrtn
𭹧	jyls
𭹨	jjnh
𭹩	jyfr
𭹪	jncv
𭹫	jxys
𭹬	pggj
𭹭	jvml
𭹮	jlvs
𭹯	djlj
𭹰	jrlw
𭹱	jjsv
𭹲	jtnb
𭹳	jdgv
𭹴	jkdg
𭹵	jgnr
𭹶	jrss
𭹷	jfdn
𭹸	jjxx
𭹹	jxqt
𭹺	jmcj
𭹻	jhqd
𭹼	jbjh
𭹽	jxjf
𭹾	jymc
𭹿	jfvn
𭺀	jnpa
𭺁	jpsq
𭺂	jsns
𭺃	jpss
𭺄	jjqm
𭺅	jhfk
𭺆	jfhl
𭺇	jdgd
𭺈	jtns
𭺉	jxja
𭺊	jdgg
𭺋	jxcb
𭺌	jsrg
𭺍	jxnw
𭺎	jxsx
𭺏	ynxd
𭺐	jccy
𭺑	jnci
𭺒	jjhv
𭺓	jlwc
𭺔	jjjy
𭺕	jjpp
𭺖	jpdl
𭺗	fwva
𭺘	fwvd
𭺙	tjkf
𭺚	fwsv
𭺛	fhhk
𭺜	fdkn
𭺝	pjmb
𭺞	pjrs
𭺟	pjbo
𭺠	hcgp
𭺡	ymdp
𭺢	pjmf
𭺣	pjyx
𭺤	ydfp
𭺥	pjrk
𭺦	kvvp
𭺧	dwxp
𭺨	xgjp
𭺩	ysyp
𭺪	jkne
𭺫	hkrk
𭺬	pkbj
𭺭	pkhk
𭺮	fdhk
𭺯	pksh
𭺰	skwk
𭺱	ydye
𭺲	sye
𭺳	yddu
𭺴	ykvi
𭺵	yfjd
𭺶	pkfy
𭺷	yta
𭺸	ndfo
𭺹	mfmq
𭺺	pmfo
𭺻	mflf
𭺼	qqhc
𭺽	jdhh
𭺾	xnpi
𭺿	vmvp
𭻀	vmkw
𭻁	vmxp
𭻂	fkhv
𭻃	vmmg
𭻄	pdhj
𭻅	vmgi
𭻆	vmva
𭻇	vmnw
𭻈	rqxn
𭻉	nsvm
𭻊	vmhk
𭻋	kkjh
𭻌	yvme
𭻍	fwvm
𭻎	xnfg
𭻏	fdbv
𭻐	vmmv
𭻑	dgvm
𭻒	vmqp
𭻓	mwvm
𭻔	vmfn
𭻕	vmxv
𭻖	vmht
𭻗	vmms
𭻘	vmbh
𭻙	djvm
𭻚	vmmg
𭻛	djfx
𭻜	vmvv
𭻝	xnjl
𭻞	vmnn
𭻟	vmmr
𭻠	jdph
𭻡	xnfg
𭻢	fsvs
𭻣	hnvc
𭻤	vmmt
𭻥	vmpd
𭻦	ssvb
𭻧	fsvq
𭻨	fvfn
𭻩	fvnf
𭻪	vmys
𭻫	hnvp
𭻬	hnvd
𭻭	tgsv
𭻮	vmms
𭻯	nvfn
𭻰	vmmk
𭻱	vmhv
𭻲	vmbt
𭻳	vmkk
𭻴	fvnn
𭻵	vmsk
𭻶	vmjg
𭻷	srvn
𭻸	vmvf
𭻹	xvvv
𭻺	fdvm
𭻻	hnvj
𭻼	vmdd
𭻽	vmbv
𭻾	nhdk
𭻿	fjdk
𭼀	hdsn
𭼁	xshd
𭼂	mfqd
𭼃	dkfd
𭼄	hdmg
𭼅	lxbd
𭼆	kqja
𭼇	kqwb
𭼈	kqls
𭼉	kqdg
𭼊	kqpm
𭼋	kqjm
𭼌	kqwr
𭼍	kqyn
𭼎	kqfm
𭼏	kqcc
𭼐	kqtv
𭼑	kqvm
𭼒	kqms
𭼓	kqkl
𭼔	kqxk
𭼕	kqml
𭼖	kqgj
𭼗	kqyr
𭼘	kqwj
𭼙	kqnc
𭼚	kqnc
𭼛	kqwb
𭼜	kqdp
𭼝	kqkh
𭼞	kqkc
𭼟	kqts
𭼠	kqnt
𭼡	kqjp
𭼢	kqsc
𭼣	kqlv
𭼤	kqts
𭼥	kqgk
𭼦	kqgb
𭼧	kqqh
𭼨	kqfk
𭼩	kqjw
𭼪	kqjk
𭼫	kqcv
𭼬	kqfl
𭼭	kqtv
𭼮	kqkn
𭼯	kqxc
𭼰	kqcd
𭼱	kqyh
𭼲	kqrc
𭼳	kqnq
𭼴	kqgn
𭼵	kqcl
𭼶	kqjr
𭼷	kqgd
𭼸	kqpq
𭼹	kqyp
𭼺	kqyr
𭼻	kqyc
𭼼	kqxq
𭼽	hdba
𭼾	hdhw
𭼿	dkmj
𭽀	gnro
𭽁	hddb
𭽂	lkdl
𭽃	gfsd
𭽄	gfsj
𭽅	ghqb
𭽆	lshk
𭽇	lshk
𭽈	cjla
𭽉	lshl
𭽊	lsgd
𭽋	lsfj
𭽌	lskn
𭽍	lsmw
𭽎	cjhp
𭽏	lspb
𭽐	lsvx
𭽑	lssc
𭽒	lsjr
𭽓	lshd
𭽔	lsvn
𭽕	lsnj
𭽖	lswk
𭽗	lskg
𭽘	lsfh
𭽙	lsxj
𭽚	lsjy
𭽛	lsjh
𭽜	lsjw
𭽝	cjjv
𭽞	gdll
𭽟	lsgs
𭽠	lskl
𭽡	lsjj
𭽢	lscn
𭽣	snsd
𭽤	snnh
𭽥	snpm
𭽦	mqjs
𭽧	snjj
𭽨	snnq
𭽩	snhg
𭽪	tnts
𭽫	snql
𭽬	plsn
𭽭	snlp
𭽮	snlv
𭽯	rssn
𭽰	snxx
𭽱	snsv
𭽲	snny
𭽳	snqb
𭽴	kysn
𭽵	ydms
𭽶	bhjs
𭽷	rlfs
𭽸	bksk
𭽹	fmqs
𭽺	snss
𭽻	fmqs
𭽼	xnmq
𭽽	xjpq
𭽾	lsqr
𭽿	mvsq
𭾀	yvbq
𭾁	mwqr
𭾂	bkqr
𭾃	dgsq
𭾄	dcsq
𭾅	xdgq
𭾆	rhhq
𭾇	kkjq
𭾈	rqtq
𭾉	pgkq
𭾊	tnhq
𭾋	rhhq
𭾌	rnnq
𭾍	djnq
𭾎	tcqr
𭾏	rhhq
𭾐	hktq
𭾑	qhqr
𭾒	bkmq
𭾓	mfmh
𭾔	gltq
𭾕	krkq
𭾖	rqqb
𭾗	krxi
𭾘	krma
𭾙	krjv
𭾚	krwk
𭾛	cnkh
𭾜	xjkr
𭾝	krjk
𭾞	krkb
𭾟	krks
𭾠	krkb
𭾡	krfy
𭾢	krlk
𭾣	krvi
𭾤	krhf
𭾥	krth
𭾦	krlq
𭾧	krpk
𭾨	krhs
𭾩	gdhk
𭾪	qjyk
𭾫	krph
𭾬	qjwk
𭾭	skdn
𭾮	krnq
𭾯	krhg
𭾰	krlf
𭾱	qjyt
𭾲	krss
𭾳	krkk
𭾴	lnkr
𭾵	krjs
𭾶	krxd
𭾷	krxv
𭾸	krmf
𭾹	bglk
𭾺	krdk
𭾻	krjv
𭾼	krmh
𭾽	lkyk
𭾾	krvv
𭾿	krlm
𭿀	knyk
𭿁	krpp
𭿂	krqb
𭿃	pshk
𭿄	krrh
𭿅	krkw
𭿆	krpj
𭿇	kryb
𭿈	krny
𭿉	krxm
𭿊	skdj
𭿋	skhs
𭿌	blpk
𭿍	krxx
𭿎	krnw
𭿏	krjw
𭿐	qwkr
𭿑	krxp
𭿒	krqx
𭿓	hqrk
𭿔	krkn
𭿕	krwj
𭿖	krfn
𭿗	krkp
𭿘	krpx
𭿙	krlh
𭿚	krbs
𭿛	krvq
𭿜	krxm
𭿝	krjx
𭿞	krsx
𭿟	krlx
𭿠	skyd
𭿡	skvv
𭿢	krbp
𭿣	krpk
𭿤	krxg
𭿥	krkq
𭿦	krjj
𭿧	skjw
𭿨	krbv
𭿩	rnwk
𭿪	krkp
𭿫	krpq
𭿬	krxy
𭿭	krjk
𭿮	krhm
𭿯	kryt
𭿰	ndkd
𭿱	krgx
𭿲	rhfk
𭿳	krqc
𭿴	krkq
𭿵	khhh
𭿶	dkhh
𭿷	jhxs
𭿸	jhvf
𭿹	jhtl
𭿺	jhqj
𭿻	jhfy
𭿼	jhxq
𭿽	xdhk
𭿾	xdto
𭿿	nxdo
𮀀	xdkj
𮀁	xdqe
𮀂	xdff
𮀃	xdfd
𮀄	xdts
𮀅	xdyr
𮀆	xdpr
𮀇	vdqx
𮀈	qxmh
𮀉	dkxv
𮀊	xdxj
𮀋	ddwk
𮀌	ddhm
𮀍	ddja
𮀎	mgdd
𮀏	ddts
𮀐	ddsr
𮀑	ddyw
𮀒	djdd
𮀓	ddxh
𮀔	ddld
𮀕	ddls
𮀖	ddxx
𮀗	ddfd
𮀘	cjyd
𮀙	ddfs
𮀚	ddnj
𮀛	ddsv
𮀜	cndd
𮀝	ddvd
𮀞	dddm
𮀟	ddwc
𮀠	ddvm
𮀡	ddtn
𮀢	ddds
𮀣	ddlp
𮀤	ddpm
𮀥	ddpm
𮀦	jwdd
𮀧	ddmg
𮀨	ddkf
𮀩	ddxk
𮀪	ddfg
𮀫	ddts
𮀬	ddkf
𮀭	ddss
𮀮	ddwv
𮀯	lsld
𮀰	ddvd
𮀱	lsjd
𮀲	ddcf
𮀳	ddxj
𮀴	ddty
𮀵	ddqv
𮀶	ddps
𮀷	ddyg
𮀸	ddrl
𮀹	ddlw
𮀺	ddcp
𮀻	ddts
𮀼	ddvv
𮀽	ddnp
𮀾	ddwl
𮀿	ddfc
𮁀	ddjw
𮁁	ddyy
𮁂	ddtj
𮁃	ddyy
𮁄	ddfv
𮁅	ddpk
𮁆	ddpr
𮁇	ddnt
𮁈	ddts
𮁉	ddtc
𮁊	ddjv
𮁋	ddnp
𮁌	ddpq
𮁍	ddgx
𮁎	ddxc
𮁏	ddlx
𮁐	ddfv
𮁑	cjld
𮁒	ddpr
𮁓	ddvk
𮁔	ddpq
𮁕	ddnm
𮁖	ddss
𮁗	ddbh
𮁘	ddcp
𮁙	ddpc
𮁚	ddpv
𮁛	ddpv
𮁜	ldgk
𮁝	dnld
𮁞	ldla
𮁟	ldvq
𮁠	ldwr
𮁡	ldhj
𮁢	ldye
𮁣	ldmm
𮁤	djld
𮁥	ldkj
𮁦	ldsm
𮁧	ldnf
𮁨	hdbl
𮁩	ldys
𮁪	ldvd
𮁫	ldxh
𮁬	ldms
𮁭	ldff
𮁮	ldrn
𮁯	ldwc
𮁰	ldvl
𮁱	ldkv
𮁲	ldda
𮁳	ldmv
𮁴	ldxx
𮁵	ldmj
𮁶	ybld
𮁷	ldgl
𮁸	xshl
𮁹	cndl
𮁺	ldhy
𮁻	lddq
𮁼	ldnr
𮁽	ldqx
𮁾	ldmf
𮁿	ldwl
𮂀	ldkm
𮂁	ldms
𮂂	ldny
𮂃	fpwl
𮂄	blmd
𮂅	ldks
𮂆	ldcj
𮂇	ldjy
𮂈	ldnx
𮂉	ldch
𮂊	ldnv
𮂋	ldcf
𮂌	ldyv
𮂍	ldvw
𮂎	lddw
𮂏	ldhb
𮂐	rnwl
𮂑	rkdl
𮂒	ldky
𮂓	ldpw
𮂔	lddv
𮂕	ldkq
𮂖	ldhd
𮂗	ldyg
𮂘	ldjw
𮂙	ldjf
𮂚	ldhk
𮂛	ldgw
𮂜	ldyt
𮂝	ldbv
𮂞	ldrh
𮂟	ldrk
𮂠	ldky
𮂡	ldjg
𮂢	ldfd
𮂣	ldph
𮂤	gldj
𮂥	ldns
𮂦	ldyn
𮂧	ldyl
𮂨	ldss
𮂩	ldqc
𮂪	ldhd
𮂫	ldnk
𮂬	yddq
𮂭	xgnn
𮂮	nddx
𮂯	dlxi
𮂰	dltu
𮂱	dlyg
𮂲	dlwd
𮂳	dlkq
𮂴	dlja
𮂵	dlnb
𮂶	dlhp
𮂷	dlwk
𮂸	dltj
𮂹	dlcj
𮂺	dlxp
𮂻	dlsb
𮂼	dlmd
𮂽	dllk
𮂾	dlxk
𮂿	dldj
𮃀	dlyq
𮃁	dlkg
𮃂	dlfd
𮃃	dlcn
𮃄	dlmv
𮃅	dlhb
𮃆	dltp
𮃇	dlkl
𮃈	dlwh
𮃉	dlkq
𮃊	dldh
𮃋	dlyf
𮃌	dlnn
𮃍	dlmw
𮃎	dlfk
𮃏	dllf
𮃐	dlmc
𮃑	dljq
𮃒	dltl
𮃓	dlyr
𮃔	dlyj
𮃕	dlqm
𮃖	dldj
𮃗	dlnh
𮃘	dlxy
𮃙	dlxy
𮃚	dldn
𮃛	dlyj
𮃜	dljj
𮃝	dlsw
𮃞	dllt
𮃟	dlxk
𮃠	dlhm
𮃡	dlgv
𮃢	dlnj
𮃣	dlxg
𮃤	dlrr
𮃥	dlcs
𮃦	dlxj
𮃧	dlys
𮃨	dlnv
𮃩	dllv
𮃪	dlnv
𮃫	dlmv
𮃬	dlks
𮃭	dlrs
𮃮	dlrd
𮃯	dlhk
𮃰	mfjd
𮃱	dlnx
𮃲	dlxh
𮃳	dljk
𮃴	dlnm
𮃵	dlcq
𮃶	dlnd
𮃷	dlyj
𮃸	xkhl
𮃹	xkfa
𮃺	xkfk
𮃻	xknk
𮃼	xknu
𮃽	xksb
𮃾	xkhy
𮃿	xkwf
𮄀	xktp
𮄁	xkrp
𮄂	xkwr
𮄃	xkxq
𮄄	xkkl
𮄅	xksp
𮄆	xkcd
𮄇	xkgd
𮄈	xkpt
𮄉	xktg
𮄊	xkwp
𮄋	xkfv
𮄌	xkjm
𮄍	xkjk
𮄎	xkxp
𮄏	xkxt
𮄐	xkbs
𮄑	xkcs
𮄒	xkhq
𮄓	xkyx
𮄔	xkks
𮄕	xkkv
𮄖	xkxc
𮄗	xkcp
𮄘	xkxx
𮄙	xkhf
𮄚	xklp
𮄛	xktn
𮄜	xkbv
𮄝	xkgp
𮄞	xkfd
𮄟	xktp
𮄠	xkgn
𮄡	xkkv
𮄢	xksn
𮄣	xkkm
𮄤	xkdh
𮄥	xkkd
𮄦	xkhk
𮄧	kvhc
𮄨	kvfa
𮄩	kvvx
𮄪	kvpb
𮄫	kvye
𮄬	kvyy
𮄭	kvrr
𮄮	kvnj
𮄯	kvmf
𮄰	kvsj
𮄱	kvjl
𮄲	kvws
𮄳	kvyd
𮄴	kvdd
𮄵	kvkj
𮄶	kvmg
𮄷	kvbq
𮄸	kvjp
𮄹	kvkj
𮄺	kvsk
𮄻	kvql
𮄼	kvxp
𮄽	xcqk
𮄾	kvvw
𮄿	kvpp
𮅀	nlga
𮅁	nksi
𮅂	ndjj
𮅃	nkme
𮅄	nwgd
𮅅	nwhe
𮅆	nche
𮅇	nkdu
𮅈	ndhl
𮅉	nxpf
𮅊	ntso
𮅋	nnu
𮅌	nmfd
𮅍	nlhi
𮅎	nhto
𮅏	nkhh
𮅐	nmwi
𮅑	ndyw
𮅒	nkgn
𮅓	nwls
𮅔	ngkq
𮅕	nkwk
𮅖	ndnc
𮅗	nxfl
𮅘	nmro
𮅙	nnje
𮅚	nsvo
𮅛	nwfj
𮅜	nwfw
𮅝	nbmw
𮅞	nxkj
𮅟	nlwh
𮅠	nqcs
𮅡	nwsv
𮅢	njmh
𮅣	nddr
𮅤	nvjf
𮅥	nrro
𮅦	nvsm
𮅧	nvpd
𮅨	nwxv
𮅩	njls
𮅪	nhtc
𮅫	ntpi
𮅬	nxqe
𮅭	nmsv
𮅮	njsy
𮅯	nbnh
𮅰	ngmb
𮅱	nxwc
𮅲	nbmv
𮅳	nggw
𮅴	nwlf
𮅵	ntva
𮅶	nkts
𮅷	nblj
𮅸	nvmf
𮅹	nvfn
𮅺	nvtp
𮅻	nknl
𮅼	nbvn
𮅽	nrvf
𮅾	njwj
𮅿	nwty
𮆀	nwrl
𮆁	nlrb
𮆂	nvfl
𮆃	nhhk
𮆄	ncci
𮆅	nmyj
𮆆	ngkl
𮆇	ndqm
𮆈	nyjn
𮆉	ndjh
𮆊	njqr
𮆋	nqhl
𮆌	nrpm
𮆍	ntmh
𮆎	ntsn
𮆏	njvb
𮆐	nglj
𮆑	ngyj
𮆒	ngtv
𮆓	nmsy
𮆔	nfhm
𮆕	njfx
𮆖	nrlk
𮆗	npgs
𮆘	nqhk
𮆙	nqft
𮆚	nrft
𮆛	ndjx
𮆜	nksp
𮆝	nllx
𮆞	nlkk
𮆟	nbsn
𮆠	nrhr
𮆡	nrsv
𮆢	ndpk
𮆣	njwy
𮆤	nmtl
𮆥	njvu
𮆦	nhrc
𮆧	nnxd
𮆨	ngyd
𮆩	nrhv
𮆪	ntjy
𮆫	nkky
𮆬	nmmj
𮆭	njpg
𮆮	nswq
𮆯	nnhl
𮆰	ntjx
𮆱	ncbj
𮆲	nybh
𮆳	nxhv
𮆴	nkhn
𮆵	nblt
𮆶	nfxq
𮆷	njpt
𮆸	nqhh
𮆹	ndsv
𮆺	nwrv
𮆻	nyjh
𮆼	ngsv
𮆽	nkny
𮆾	ndny
𮆿	nlrq
𮇀	nfwb
𮇁	nqqk
𮇂	ntmf
𮇃	nrdn
𮇄	nrbn
𮇅	nrmd
𮇆	nryg
𮇇	nrjd
𮇈	nrwd
𮇉	nrmw
𮇊	nrhh
𮇋	nrlq
𮇌	nrxw
𮇍	nrsb
𮇎	nrsb
𮇏	nrmh
𮇐	nrdj
𮇑	nryy
𮇒	nrms
𮇓	lkdn
𮇔	nrfw
𮇕	nrrs
𮇖	nrbj
𮇗	nrpd
𮇘	nrda
𮇙	nrhg
𮇚	nrhd
𮇛	nrbp
𮇜	nrmw
𮇝	nrss
𮇞	nrkk
𮇟	nrtk
𮇠	nrsv
𮇡	nrvm
𮇢	nrhf
𮇣	nrdc
𮇤	nrtn
𮇥	nrvv
𮇦	dkdn
𮇧	nrll
𮇨	nrfp
𮇩	nrdw
𮇪	nrjf
𮇫	nrbm
𮇬	dkfn
𮇭	nrww
𮇮	nrhc
𮇯	nrbd
𮇰	nrbt
𮇱	nryq
𮇲	nrgd
𮇳	nrfp
𮇴	nrwj
𮇵	dlnn
𮇶	nrsv
𮇷	nrfn
𮇸	nrlp
𮇹	nrgv
𮇺	nrbj
𮇻	nrml
𮇼	nrxl
𮇽	pqnn
𮇾	qmlq
𮇿	nrsd
𮈀	dcwn
𮈁	tydo
𮈂	ttu
𮈃	tkbo
𮈄	tlke
𮈅	tndi
𮈆	tvso
𮈇	tvxo
𮈈	tpba
𮈉	tfo
𮈊	tche
𮈋	wkft
𮈌	tvdd
𮈍	pmti
𮈎	tda
𮈏	gti
𮈐	tqvp
𮈑	kgdt
𮈒	tnje
𮈓	vkst
𮈔	thti
𮈕	tbdk
𮈖	xqqt
𮈗	ttnw
𮈘	tqlj
𮈙	tphh
𮈚	txso
𮈛	ygdt
𮈜	tnnr
𮈝	tbwg
𮈞	tlfe
𮈟	tnya
𮈠	txdk
𮈡	tti
𮈢	thqf
𮈣	tqdk
𮈤	tflk
𮈥	tkfe
𮈦	txpl
𮈧	ttjf
𮈨	tsll
𮈩	tsbo
𮈪	tyrn
𮈫	tqmw
𮈬	tjfh
𮈭	thsn
𮈮	thtc
𮈯	tsck
𮈰	tfhv
𮈱	tcjh
𮈲	tfys
𮈳	tcpe
𮈴	tbpv
𮈵	tnvo
𮈶	txhy
𮈷	tdfs
𮈸	tyys
𮈹	tfgv
𮈺	trhh
𮈻	tsxs
𮈼	tfqn
𮈽	txws
𮈾	txqc
𮈿	tbkk
𮉀	tybs
𮉁	txfv
𮉂	ttrf
𮉃	tqqy
𮉄	tggt
𮉅	thsv
𮉆	tfrl
𮉇	tfhs
𮉈	tbtm
𮉉	ttvo
𮉊	tptj
𮉋	tssk
𮉌	tnhy
𮉍	thxm
𮉎	twrt
𮉏	tssv
𮉐	tcql
𮉑	tjvt
𮉒	txcb
𮉓	tywv
𮉔	pvst
𮉕	tdcu
𮉖	tcxs
𮉗	thtq
𮉘	tyyj
𮉙	tngv
𮉚	tmvb
𮉛	tkkc
𮉜	tfqh
𮉝	tlxv
𮉞	tcyc
𮉟	tfxn
𮉠	kdne
𮉡	kcnd
𮉢	khkw
𮉣	knco
𮉤	krru
𮉥	kfdg
𮉦	kxdd
𮉧	kfxm
𮉨	ksxm
𮉩	ktke
𮉪	kspe
𮉫	kdfu
𮉬	kymx
𮉭	knkr
𮉮	kyci
𮉯	kgld
𮉰	rwpi
𮉱	rwkw
𮉲	rwsn
𮉳	rwfd
𮉴	rwmr
𮉵	rwds
𮉶	bjrw
𮉷	rwpf
𮉸	rwnc
𮉹	rwwf
𮉺	ncrr
𮉻	rwkq
𮉼	hxrk
𮉽	qjlg
𮉾	hjhh
𮉿	qjwa
𮊀	mdhq
𮊁	xnmn
𮊂	qjqj
𮊃	qjmh
𮊄	xndl
𮊅	qjkh
𮊆	nqvd
𮊇	xnmj
𮊈	qjgj
𮊉	qjnl
𮊊	xnmq
𮊋	qjhb
𮊌	xndl
𮊍	qjxm
𮊎	xndq
𮊏	hjff
𮊐	qjkw
𮊑	qjgj
𮊒	qjqk
𮊓	xndb
𮊔	xndc
𮊕	qjsj
𮊖	xndn
𮊗	hmyv
𮊘	xndh
𮊙	qjsl
𮊚	qjjv
𮊛	qjnw
𮊜	xnmm
𮊝	qjcw
𮊞	xnmk
𮊟	qjty
𮊠	qjcs
𮊡	qjdx
𮊢	kglk
𮊣	kghd
𮊤	ljkg
𮊥	kgkj
𮊦	kgjq
𮊧	kgns
𮊨	bkbd
𮊩	rnkg
𮊪	xdkg
𮊫	kgdd
𮊬	kgmn
𮊭	kgld
𮊮	kgwj
𮊯	jwhk
𮊰	kgnt
𮊱	kgnk
𮊲	kgnk
𮊳	kglx
𮊴	kgrw
𮊵	ljqd
𮊶	lksm
𮊷	knhq
𮊸	tntj
𮊹	srss
𮊺	mgss
𮊻	sslk
𮊼	gdls
𮊽	sskh
𮊾	sspm
𮊿	ssmd
𮋀	tntk
𮋁	sstl
𮋂	ssyd
𮋃	nwjs
𮋄	wkms
𮋅	qpss
𮋆	vjss
𮋇	kwks
𮋈	jjss
𮋉	lsgs
𮋊	hcxs
𮋋	lsjs
𮋌	ssxf
𮋍	bccs
𮋎	ssfr
𮋏	qjfs
𮋐	xpms
𮋑	qgqs
𮋒	nrvk
𮋓	ssqy
𮋔	ngms
𮋕	sstf
𮋖	xdts
𮋗	tkys
𮋘	kwks
𮋙	xdws
𮋚	ycyc
𮋛	yvbs
𮋜	yvbs
𮋝	yvlj
𮋞	yvhd
𮋟	ydrp
𮋠	gyqr
𮋡	ybrr
𮋢	rnrj
𮋣	gmmq
𮋤	gmmg
𮋥	gmdr
𮋦	gmkr
𮋧	gmbs
𮋨	gmyb
𮋩	gmxj
𮋪	gmff
𮋫	gmkm
𮋬	sndd
𮋭	snhe
𮋮	snwd
𮋯	snnb
𮋰	snql
𮋱	snns
𮋲	snxj
𮋳	snvv
𮋴	snkh
𮋵	snkf
𮋶	sncv
𮋷	snwb
𮋸	snyx
𮋹	xbds
𮋺	twxs
𮋻	rnss
𮋼	snsk
𮋽	sbvs
𮋾	bkys
𮋿	snry
𮌀	snss
𮌁	hfmd
𮌂	tnqj
𮌃	tnrf
𮌄	tnxh
𮌅	rjhq
𮌆	tnxh
𮌇	xnrd
𮌈	lle
𮌉	dkxm
𮌊	xnmh
𮌋	lpdd
𮌌	lwgu
𮌍	lnmh
𮌎	nmhl
𮌏	lbhw
𮌐	mkle
𮌑	xnmg
𮌒	llvu
𮌓	ldri
𮌔	jwle
𮌕	xnml
𮌖	lljd
𮌗	lybb
𮌘	ltke
𮌙	bllw
𮌚	lnnd
𮌛	qlry
𮌜	xnml
𮌝	ljnh
𮌞	ldvl
𮌟	lkfu
𮌠	lmmk
𮌡	lhbl
𮌢	lndc
𮌣	lltq
𮌤	lqwd
𮌥	lvtb
𮌦	lfyq
𮌧	lwrx
𮌨	llqv
𮌩	mhsq
𮌪	ldqv
𮌫	yqlj
𮌬	bhrl
𮌭	kgnl
𮌮	lkgi
𮌯	lmml
𮌰	lgld
𮌱	hblm
𮌲	lqpr
𮌳	knll
𮌴	lyjb
𮌵	lpmv
𮌶	lrlw
𮌷	lnkh
𮌸	lvqu
𮌹	lggv
𮌺	lbso
𮌻	lnkq
𮌼	lpjl
𮌽	hbls
𮌾	lwws
𮌿	hwnm
𮍀	lhxm
𮍁	lyqt
𮍂	nwld
𮍃	lyrp
𮍄	lkkq
𮍅	pjwl
𮍆	lpxd
𮍇	ljbb
𮍈	qcle
𮍉	xnmm
𮍊	lkvp
𮍋	pjwl
𮍌	rhhk
𮍍	rhhp
𮍎	fkqe
𮍏	kjqe
𮍐	kwkk
𮍑	qxso
𮍒	dkkq
𮍓	qjss
𮍔	lkmg
𮍕	lkfa
𮍖	lkch
𮍗	lkvx
𮍘	lkns
𮍙	lkwt
𮍚	lkpd
𮍛	lkhs
𮍜	lknj
𮍝	lkvj
𮍞	lklx
𮍟	lkfh
𮍠	fkxd
𮍡	fkyp
𮍢	bkfk
𮍣	fkkq
𮍤	nxff
𮍥	nnu
𮍦	nto
𮍧	ncjo
𮍨	bknu
𮍩	fpnj
𮍪	nmja
𮍫	ndfm
𮍬	nqfm
𮍭	nfdm
𮍮	ngfm
𮍯	nlje
𮍰	nnfm
𮍱	nnfm
𮍲	nxfg
𮍳	nddf
𮍴	hdfn
𮍵	hdnh
𮍶	hdmm
𮍷	hdhs
𮍸	mhsd
𮍹	bcbh
𮍺	hdrh
𮍻	jdnh
𮍼	hdnl
𮍽	hdsh
𮍾	hdgv
𮍿	xdmh
𮎀	hdbh
𮎁	twjq
𮎂	yttq
𮎃	skhw
𮎄	skym
𮎅	skyq
𮎆	sksp
𮎇	skhh
𮎈	skvf
𮎉	skcd
𮎊	skhv
𮎋	skcj
𮎌	sklk
𮎍	skgh
𮎎	sksq
𮎏	sksj
𮎐	skms
𮎑	skxv
𮎒	skxm
𮎓	skxd
𮎔	skkq
𮎕	skxy
𮎖	skxw
𮎗	skhq
𮎘	dmmx
𮎙	rkmw
𮎚	rsnm
